000001| Programming in C| Lucas Walker| Self-help| 1998| 49
000046| History of Ancient Civilizations| James Anderson| Mystery| 1995| 39
000047| The Secret of the Old Castle| David Harris| Strategy| 2024| 29
000048| Science and Future| Elizabeth White| Strategy| 2001| 11
000049| Programming in C| David Harris| Cooking| 2023| 29
000050| Mystery of the Lost Island| Michael Thomas| History| 2013| 38
000051| Data Structures & Algorithms| John Smith| Programming| 2017| 6
000052| Data Structures & Algorithms| Elizabeth White| Adventure| 2006| 19
000053| The Road to Success| Emma Clark| Strategy| 1994| 4
000054| Cooking for Beginners| James Anderson| Self-help| 2022| 11
000055| Science and Future| Elizabeth White| Science| 2008| 47
000056| Mystery of the Lost Island| Sophia Martinez| Psychology| 1992| 35
000057| Artificial Intelligence Basics| Robert Brown| Mystery| 1996| 27
000058| Mastering Chess| Alice Johnson| Psychology| 2022| 38
000059| Artificial Intelligence Basics| Elizabeth White| Education| 2003| 39
000060| Psychology and Mind| Robert Brown| Education| 1996| 26
000061| The Secret of the Old Castle| Daniel Lewis| Science| 2017| 11
000062| Data Structures & Algorithms| James Anderson| Education| 1993| 1
000063| Programming in C| Emily Davis| Programming| 1992| 20
000064| The Road to Success| Michael Thomas| Fantasy| 2005| 37
000065| Beyond the Horizon| Emma Clark| Mystery| 2023| 14
000066| Programming in C| Alice Johnson| Programming| 2014| 32
000067| Science and Future| William Wilson| Cooking| 2014| 42
000068| The Road to Success| Olivia Taylor| Fiction| 1994| 7
000069| Beyond the Horizon| David Harris| Cooking| 1992| 12
000070| Data Structures & Algorithms| John Smith| Cooking| 1991| 45
000071| The Secret of the Old Castle| David Harris| Mystery| 1997| 6
000072| Data Structures & Algorithms| Daniel Lewis| Fantasy| 2016| 3
000073| Cooking for Beginners| Michael Thomas| Psychology| 1995| 4
000074| Mastering Chess| Emily Davis| Psychology| 2004| 11
000075| Mastering Chess| Lucas Walker| Adventure| 2013| 37
000076| The Art of War| David Harris| Fantasy| 2023| 46
000077| Programming in C| Daniel Lewis| Cooking| 2018| 47
000078| Mastering Chess| Elizabeth White| Programming| 2010| 32
000079| Science and Future| Elizabeth White| Science| 1991| 41
000080| The Secret of the Old Castle| Olivia Taylor| Education| 2013| 12
000081| The Road to Success| Michael Thomas| Programming| 2001| 48
000082| Cooking for Beginners| Daniel Lewis| Psychology| 1991| 33
000083| Cooking for Beginners| John Smith| Science| 2006| 12
000084| Mastering Chess| Olivia Taylor| Fantasy| 1992| 22
000085| Mystery of the Lost Island| Olivia Taylor| Fantasy| 2014| 28
000086| The Road to Success| Robert Brown| Science| 2002| 41
000087| Programming in C| Emma Clark| Programming| 2018| 43
000088| Beyond the Horizon| Michael Thomas| Self-help| 2001| 19
000089| History of Ancient Civilizations| David Harris| Mystery| 1991| 37
000090| A Journey to the Stars| John Smith| Psychology| 2022| 25
000091| Data Structures & Algorithms| Robert Brown| Programming| 2023| 39
000092| Beyond the Horizon| William Wilson| Education| 2013| 7
000093| Programming in C| Daniel Lewis| Self-help| 2009| 7
000094| Mastering Chess| Sophia Martinez| History| 2010| 17
000095| The Great Adventure| Olivia Taylor| Psychology| 2016| 41
000096| The Road to Success| Olivia Taylor| Adventure| 2021| 6
000097| Mystery of the Lost Island| David Harris| Science| 1996| 38
000098| Mastering Chess| Michael Thomas| Adventure| 2009| 27
000099| Programming in C| Olivia Taylor| History| 1991| 9
000100| Beyond the Horizon| Robert Brown| Self-help| 2010| 41
